
#S 1 L1 x-ray emission rates
#N 20
#L Z  TOTAL  L1L2  L1L3  L1M1  L1M2  L1M3  L1M4  L1M5  L1N1  L1N2  L1N3  L1N4  L1N5  L1N67  L1O1  L1O2  L1O3  L1O45  L1P23
#L Z  TOTAL  L2L3  L2M1  L2M2  L2M3  L2M4  L2M5  L2N1  L2N2  L2N3  L2N4  L2N5  L2N6  L2O1  L2O2  L2O3  L2O4  L2P1  L2P23  L2P4  L2Q1
1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
5  3.03e-023  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
6  1.55e-021  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
7  2.65e-020  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
8  2.55e-019  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
9  1.69e-018  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
10  8.7e-018  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
11  1.92e-007  2.3281e-010  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
12  1.15e-006  1.5913e-010  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
13  2.69e-006  2.394e-010  0.99999  2.4349e-012  1.0929e-005  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
14  4.9002e-006  4.0815e-010  0.99996  1.2816e-011  3.8774e-005  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
15  7.9807e-006  7.0295e-010  0.99991  4.1726e-011  8.8589e-005  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
16  1.2102e-005  1.1981e-009  0.99983  1.0825e-010  0.00016691  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
17  1.7505e-005  1.988e-009  0.99972  2.4336e-010  0.00027821  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
18  2.4311e-005  3.2414e-009  0.99957  4.9773e-010  0.00043191  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
19  3.5465e-005  4.7935e-009  0.97561  8.4027e-010  0.00056112  0  0  0.023826  0  0  0  0  0  0  0  0  0  0  0  0  0  
20  5.1485e-005  6.7787e-009  0.92843  1.3013e-009  0.00067981  0  0  0.070894  0  0  0  0  0  0  0  0  0  0  0  0  0  
21  0.00013763  5.0354e-009  0.45195  9.6639e-010  0.00040036  0.51299  3.9964e-008  0.034659  0  0  0  0  0  0  0  0  0  0  0  0  0  
22  0.00028714  4.6318e-009  0.27617  8.7065e-010  0.0002901  0.70278  7.0348e-008  0.020756  0  0  0  0  0  0  0  0  0  0  0  0  0  
23  0.00052057  4.7064e-009  0.19056  8.6443e-010  0.00023436  0.79528  1.0066e-007  0.013927  0  0  0  0  0  0  0  0  0  0  0  0  0  
24  0.00092382  4.7737e-009  0.13033  8.2375e-010  0.00018402  0.86597  1.3639e-007  0.003518  0  0  0  0  0  0  0  0  0  0  0  0  0  
25  0.0013434  5.7315e-009  0.11091  9.8255e-010  0.00018088  0.88132  1.7195e-007  0.0075924  0  0  0  0  0  0  0  0  0  0  0  0  0  
26  0.0019948  6.567e-009  0.090033  1.0828e-009  0.00016693  0.90383  2.1455e-007  0.0059654  0  0  0  0  0  0  0  0  0  0  0  0  0  
27  0.0028547  7.6714e-009  0.075138  1.2085e-009  0.00015693  0.91987  2.6412e-007  0.0048341  0  0  0  0  0  0  0  0  0  0  0  0  0  
28  0.0039704  9.0167e-009  0.063973  1.3626e-009  0.00014961  0.9319  3.1987e-007  0.0039795  0  0  0  0  0  0  0  0  0  0  0  0  0  
29  0.0054931  1.0468e-008  0.053795  1.4873e-009  0.00013927  0.94483  3.8594e-007  0.0012361  0  0  0  0  0  0  0  0  0  0  0  0  0  
30  0.0071504  1.2671e-008  0.048808  1.7482e-009  0.00014125  0.9482  4.5732e-007  0.002853  0  0  0  0  0  0  0  0  0  0  0  0  0  
31  0.0091228  1.5346e-008  0.044942  2.0827e-009  0.0001436  0.95146  5.404e-007  0.0034529  1.4908e-011  8.5061e-007  0  0  0  0  0  0  0  0  0  0  0  
32  0.011426  1.873e-008  0.042098  2.4856e-009  0.00014879  0.95399  6.3366e-007  0.0037634  5.1638e-011  2.5381e-006  0  0  0  0  0  0  0  0  0  0  0  
33  0.014099  2.2909e-008  0.039789  2.9718e-009  0.00015462  0.95607  7.3762e-007  0.0039789  1.1703e-010  4.9648e-006  0  0  0  0  0  0  0  0  0  0  0  
34  0.017186  2.793e-008  0.037938  3.561e-009  0.00016176  0.95775  8.5535e-007  0.0041371  2.2053e-010  8.088e-006  0  0  0  0  0  0  0  0  0  0  0  
35  0.020706  3.4e-008  0.036414  4.2548e-009  0.00016951  0.95913  9.8521e-007  0.0042693  3.7235e-010  1.1977e-005  0  0  0  0  0  0  0  0  0  0  0  
36  0.024722  4.1259e-008  0.035151  5.0967e-009  0.00017798  0.96028  1.1326e-006  0.0043767  5.9461e-010  1.6625e-005  0  0  0  0  0  0  0  0  0  0  0  
37  0.029294  4.8133e-008  0.034069  3.7892e-009  0.00018673  0.96095  1.2938e-006  0.0046392  8.5342e-010  2.0994e-005  0  0  0  0.00012972  0  0  0  0  0  0  0  
38  0.034431  6.07e-008  0.033138  7.1737e-009  0.00019662  0.96133  1.4754e-006  0.004888  1.1588e-009  2.5122e-005  0  0  0  0.00042113  0  0  0  0  0  0  0  
